BezirkNr,BezirkName,Gesamt,DichteKm2,Maenner,MaennerProzent,Frauen,FrauenProzent,Zuwanderer,ZuwandererProzent,Auslaender,AuslaenderProzent,AuslaenderProzent2
381,Geislar u. Siegaue (380),2846,1848,1414,49.7,1432,50.3,709,24.9,283,39.9,
382,Vilich-MÅldorf,3308,2081,1623,49.1,1685,50.9,578,17.5,210,36.3,
383,PÅtzchen/Bechlinghoven,5191,2093,2507,48.3,2684,51.7,1247,24,565,45.3,
384,LiKÅRa,6382,3468,3155,49.4,3227,50.6,1323,20.7,722,54.6,
385,Oberkassel,7071,2795,3389,47.9,3682,52.1,1440,20.4,743,51.6,
386,Holzlar,8236,3693,3928,47.7,4308,52.3,2379,28.9,1085,45.6,
387,Hoholz,2532,1272,1272,50.2,1260,49.8,505,19.9,238,47.1,
388,Holtorf u. Ennert (389),1834,777,877,47.8,957,52.2,291,15.9,143,49.1,
491,Duisdorf-Zentrum,5389,6055,2637,48.9,2752,51.1,1759,32.6,1096,62.3,
492,Finkenhof,2593,3324,1249,48.2,1344,51.8,674,26,303,45,
493,Medinghoven,4497,3018,2235,49.7,2262,50.3,2501,55.6,1420,56.8,
494,BrÅser Berg,7690,1857,3676,47.8,4013,52.2,2473,32.2,1195,48.3,
495,Lengsdorf,5778,3106,2838,49.1,2940,50.9,1705,29.5,864,50.7,
496,Duisdorf-Nord,2653,5102,1244,46.9,1409,53.1,536,20.2,250,46.6,
497,Neu-Duisdorf,6295,5118,2995,47.6,3300,52.4,2298,36.5,1374,59.8,
,Stadtbezirk Bonn,156096,3738,75737,48.5,80354,51.5,48362,31,29195,60.4,
,Stadtbezirk Bad Godesberg,76906,2542,37102,48.2,39803,51.8,26735,34.8,16734,62.6,
,Stadtbezirk Beuel,68078,2902,32806,48.2,35272,51.8,15718,23.1,7762,49.4,
,Stadtbezirk Hardtberg,34895,3198,16874,48.4,18020,51.6,11946,34.2,6502,54.4,
,Bundesstadt Bonn,335975,3158,162519,48.4,173449,51.6,102761,30.6,60193,58.6,
